Country,FigTimeBin,LocationIsland,ReefSiteLocality,Lat,Long,StartYearAD,EndYearAD,StudyDepth,ApalmPres,AcervPres,BranchPoriPres,AgarPres,CavPres,ColpPres,DiplPres,MadrPres,MeanPres,MillPres,OrbiPres,PastrPres,SidePres,StephPres
Dutch Caribbean,2000-2004,Bonaire,Karpata,12.132412,-68.283246,2002,NA,20,0,0,0,1,1,1,0,1,1,0,1,1,1,1
Dutch Caribbean,2000-2004,Bonaire,Barcadera,12.575573,-69.991373,2003,NA,10,0,0,1,1,1,1,1,1,1,0,1,1,1,0
Dutch Caribbean,2005-2011,Curacao,Carmabi Buoy One,12.13078889,-69.01197222,2008,NA,10,0,0,0,1,1,1,1,1,0,0,1,1,1,0
Dutch Caribbean,2005-2011,Curacao,Carmabi Buoy One,12.13078889,-69.01197222,2008,NA,20,0,0,0,1,1,1,0,1,1,0,1,1,1,1
Dutch Caribbean,2005-2011,Curacao,Carmabi Buoy Two,12.13078889,-69.01197222,2008,NA,10,0,0,0,1,1,1,1,1,1,0,1,1,1,0
Dutch Caribbean,2005-2011,Curacao,Carmabi Buoy Two,12.13078889,-69.01197222,2008,NA,20,0,0,0,1,1,0,0,1,1,0,1,1,1,1
Dutch Caribbean,2005-2011,Bonaire,Karpata,12.132412,-68.283246,2008,NA,10,0,0,1,1,1,1,0,1,1,0,1,1,0,1
Dutch Caribbean,2005-2011,Bonaire,Karpata,12.132412,-68.283246,2008,NA,20,0,0,0,1,1,0,0,1,1,0,1,1,0,1
Dutch Caribbean,2005-2011,Bonaire,Barcadera,12.575573,-69.991373,2008,NA,10,0,0,1,1,1,1,1,1,1,0,1,1,1,0
Dutch Caribbean,2005-2011,Curacao,Awa Blancu,12.13078889,-69.01197222,2009,NA,10,0,0,1,1,1,1,1,1,1,0,1,1,0,1
Dutch Caribbean,2005-2011,Curacao,Awa Blancu,12.13078889,-69.01197222,2009,NA,20,0,0,1,1,1,1,1,1,1,0,1,1,1,1
StVincentGrenadines,1960-1969,Windward  Islands - St. Vincent,Indian Bay Reef,12.633288,-61.350161,1965,1965,5.0-6.0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dutch Caribbean,2000-2004,Curacao,Curacao Islandwide,12.13078889,-69.01197222,2003,NA,10,0,0,1,1,1,1,1,1,1,1,1,1,0,1
Dutch Caribbean,2005-2011,Curacao,Curacao Islandwide,12.13078889,-69.01197222,2010,NA,10,0,0,1,1,1,1,1,1,1,1,1,1,1,1
StVincentGrenadines,1960-1969,Windward  Islands - St. Vincent,Indian Bay Reef,12.633288,-61.350161,1965,1965,6.0 - 7.5,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,1970-1979,Dry Tortugas,Bird Key Reef,24.61124778,-82.87070048,1975,NA,10,0,1,1,1,1,1,1,1,NA,1,1,1,1,NA
Florida,1970-1979,Dry Tortugas,Bird Key Reef,24.61124778,-82.87070048,1975,NA,15,0,1,1,1,1,1,1,1,NA,1,1,1,1,NA
Florida,1970-1979,Dry Tortugas,Bird Key Reef,24.61124778,-82.87070048,1975,NA,20,0,0,1,1,1,1,0,1,NA,1,1,1,1,NA
Florida,1970-1979,Dry Tortugas,Bird Key Reef,24.61124778,-82.87070048,1976,NA,20,0,1,1,1,1,1,0,1,NA,1,1,1,1,NA
Florida,1985-1989,Dry Tortugas,Bird Key Reef,24.61124778,-82.87070048,1989,NA,15,0,0,1,1,1,1,0,1,NA,1,1,1,1,NA
Florida,1985-1989,Dry Tortugas,Loggerhead Key,24.61124778,-82.87070048,1989,NA,7,NA,1,1,0,0,0,0,0,NA,1,0,0,0,NA
Florida,1985-1989,Dry Tortugas,Pulaski Shoal,24.61124778,-82.87070048,1989,NA,10.25,0,0,0,0,1,0,0,0,NA,1,0,1,0,NA
Florida,1985-1989,Dry Tortugas,Texas Rock,24.61124778,-82.87070048,1989,NA,14,0,0,1,0,1,1,0,1,NA,1,1,1,1,NA
Florida,1985-1989,Dry Tortugas,White Shoal,24.61124778,-82.87070048,1989,NA,5,NA,1,0,0,0,1,1,0,NA,1,0,1,0,NA
Florida,1990-1994,Dry Tortugas,Bird Key Reef,24.61124778,-82.87070048,1990,NA,10,0,0,1,1,1,1,0,1,NA,1,1,1,1,NA
Florida,1990-1994,Dry Tortugas,Loggerhead Key,24.61124778,-82.87070048,1990,NA,7,NA,1,1,0,0,0,1,0,NA,1,0,0,0,NA
Florida,1990-1994,Dry Tortugas,Pulaski Shoal,24.61124778,-82.87070048,1990,NA,10.25,0,0,1,0,0,1,0,0,NA,1,1,1,1,NA
Florida,1990-1994,Dry Tortugas,Texas Rock,24.61124778,-82.87070048,1990,NA,14,0,0,0,1,1,1,0,1,NA,1,1,1,1,NA
Florida,1990-1994,Dry Tortugas,White Shoal,24.61124778,-82.87070048,1990,NA,5,NA,1,1,1,1,1,1,0,NA,1,1,1,1,NA
Florida,1990-1994,Dry Tortugas,Bird Key Reef,24.61124778,-82.87070048,1991,NA,10,0,1,1,1,1,1,0,1,NA,1,1,1,1,NA
Florida,1990-1994,Dry Tortugas,Loggerhead Key,24.61124778,-82.87070048,1991,NA,7,NA,1,1,0,0,0,1,0,NA,1,0,0,0,NA
Florida,1990-1994,Dry Tortugas,Pulaski Shoal,24.61124778,-82.87070048,1991,NA,10.25,0,0,1,0,0,0,0,0,NA,1,1,1,1,NA
Florida,1990-1994,Dry Tortugas,Texas Rock,24.61124778,-82.87070048,1991,NA,14,0,1,1,1,1,1,0,1,NA,1,1,1,1,NA
Florida,1990-1994,Dry Tortugas,White Shoal,24.61124778,-82.87070048,1991,NA,5,NA,1,1,1,1,1,0,0,NA,1,1,1,1,NA
Jamaica,1970-1979,Rio Bueno,Rio Bueno,18.481,-77.461,1977,NA,10,NA,1,1,1,NA,1,NA,1,NA,0,1,1,0,NA
Jamaica,1970-1979,Rio Bueno,Rio Bueno,18.481,-77.461,1977,NA,10,NA,1,1,1,NA,1,NA,1,NA,NA,1,1,0,NA
Jamaica,1970-1979,Rio Bueno,Rio Bueno,18.481,-77.461,1977,NA,15,NA,1,1,1,NA,1,NA,1,NA,0,1,1,1,NA
Jamaica,1970-1979,Rio Bueno,Rio Bueno,18.481,-77.461,1977,NA,20,NA,0,1,1,NA,1,NA,1,NA,0,1,1,1,NA
Jamaica,1980-1984,Rio Bueno,Rio Bueno,18.481,-77.461,1981,NA,7,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA
Jamaica,1980-1984,Rio Bueno,Rio Bueno,18.481,-77.461,1983,NA,17.5,0,0,1,1,1,0,0,1,0,1,1,1,0,0
Jamaica,1980-1984,Rio Bueno,Rio Bueno,18.481,-77.461,1983,NA,7,NA,1,1,1,NA,1,1,1,NA,1,1,1,0,NA
Jamaica,1980-1984,Rio Bueno,Rio Bueno,18.481,-77.461,1984,NA,17.5,0,0,1,1,1,0,0,1,0,1,1,1,0,0
Jamaica,1980-1984,Rio Bueno,Rio Bueno,18.481,-77.461,1984,NA,10,1,1,1,1,0,1,1,1,0,1,1,1,1,0
Jamaica,1980-1984,Rio Bueno,Rio Bueno,18.481,-77.461,1984,NA,7,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA
Jamaica,1980-1984,Rio Bueno,Rio Bueno,18.481,-77.461,1984,NA,7,NA,1,1,1,NA,1,0,1,NA,1,1,1,0,NA
Jamaica,1985-1989,Rio Bueno,Rio Bueno,18.481,-77.461,1985,NA,17.5,0,0,1,1,1,0,0,1,0,1,1,1,0,0
Jamaica,1985-1989,Rio Bueno,Rio Bueno,18.481,-77.461,1985,NA,7,NA,1,1,1,NA,1,0,1,NA,1,1,1,0,NA
Jamaica,1985-1989,Rio Bueno,Rio Bueno,18.481,-77.461,1985,NA,10,NA,1,1,1,NA,1,1,1,NA,1,1,1,1,NA
Jamaica,1985-1989,Rio Bueno,Rio Bueno,18.481,-77.461,1986,NA,17.5,0,0,1,1,1,0,0,1,0,1,1,1,0,0
Jamaica,1985-1989,Rio Bueno,Rio Bueno,18.481,-77.461,1986,NA,10,1,1,1,1,0,1,1,1,0,1,1,1,1,0
Jamaica,1985-1989,Rio Bueno,Rio Bueno,18.481,-77.461,1986,NA,7,NA,1,1,1,NA,1,0,1,NA,1,1,1,0,NA
Jamaica,1985-1989,Rio Bueno,Rio Bueno,18.481,-77.461,1987,NA,17.5,0,0,1,1,1,0,0,1,0,1,1,1,0,0
Jamaica,1985-1989,Rio Bueno,Rio Bueno,18.481,-77.461,1987,NA,10,1,1,1,1,0,1,1,1,0,1,1,1,1,0
Jamaica,1985-1989,Rio Bueno,Rio Bueno,18.481,-77.461,1987,NA,7,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA
Jamaica,1985-1989,Rio Bueno,Rio Bueno,18.481,-77.461,1987,NA,7,NA,1,1,1,NA,1,0,1,NA,1,1,1,0,NA
Jamaica,1985-1989,Rio Bueno,Rio Bueno,18.481,-77.461,1989,NA,7,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA
Jamaica,1990-1994,Rio Bueno,Rio Bueno,18.481,-77.461,1993,NA,7,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA
USVI,1985-1989,St. John,Tektite,18.30701667,-64.72131667,1987,NA,14,0,0,NA,1,NA,1,1,0,NA,0,1,NA,1,NA
USVI,1985-1989,St. John,Yawzi,18.30701667,-64.72131667,1987,NA,9,0,0,NA,0,NA,1,1,0,NA,0,1,NA,1,NA
USVI,1985-1989,St. John,Tektite,18.30701667,-64.72131667,1988,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1985-1989,St. John,Yawzi,18.30701667,-64.72131667,1988,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1985-1989,St. John,Tektite,18.30701667,-64.72131667,1989,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1985-1989,St. John,Yawzi,18.30701667,-64.72131667,1989,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1990-1994,St. John,Tektite,18.30701667,-64.72131667,1990,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1990-1994,St. John,Yawzi,18.30701667,-64.72131667,1990,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1990-1994,St. John,Tektite,18.30701667,-64.72131667,1991,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1990-1994,St. John,Yawzi,18.30701667,-64.72131667,1991,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1990-1994,St. John,Random Sites,18.30701667,-64.72131667,1992,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,1990-1994,St. John,Tektite,18.30701667,-64.72131667,1992,NA,14,0,0,NA,1,NA,1,1,0,NA,0,1,NA,1,NA
USVI,1990-1994,St. John,Yawzi,18.30701667,-64.72131667,1992,NA,9,0,0,NA,0,NA,0,0,0,NA,0,1,NA,0,NA
USVI,1990-1994,St. John,Random Sites,18.30701667,-64.72131667,1993,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,1990-1994,St. John,Tektite,18.30701667,-64.72131667,1993,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1990-1994,St. John,Yawzi,18.30701667,-64.72131667,1993,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1990-1994,St. John,Random Sites,18.30701667,-64.72131667,1994,NA,9,0,0,NA,1,NA,0,0,0,NA,0,0,NA,1,NA
USVI,1990-1994,St. John,Tektite,18.30701667,-64.72131667,1994,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1990-1994,St. John,Yawzi,18.30701667,-64.72131667,1994,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1995-1999,St. John,Random Sites,18.30701667,-64.72131667,1995,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,1995-1999,St. John,Tektite,18.30701667,-64.72131667,1995,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1995-1999,St. John,Yawzi,18.30701667,-64.72131667,1995,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1995-1999,St. John,Random Sites,18.30701667,-64.72131667,1996,NA,9,0,0,NA,1,NA,0,1,0,NA,0,0,NA,1,NA
USVI,1995-1999,St. John,Tektite,18.30701667,-64.72131667,1996,NA,14,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
USVI,1995-1999,St. John,Yawzi,18.30701667,-64.72131667,1996,NA,9,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,NA
